schedule|googlelink|marketname|products|address|id
 <br> <br> <br> |http://maps.google.com/?q=33.9208%2C%20-118.405%20(%22El+Segundo+Farmers+Market%22)|El Segundo Farmers Market||Grand & Eucalyptus, Los Angeles, California, 90045|1000024
07/01/2011 to 10/31/2011 <br> <br> <br> |http://maps.google.com/?q=47.5218%2C%20-95.397%20(%22Bagley+Area+Farmrs+Market%22)|Bagley Area Farmrs Market||US Highway 2 and Getchell Avenue, Bagley, Minnesota, 56621|1000029
06/19/2014 to 10/16/2014 Thu: 7:00 AM-1:00 PM;<br> <br> <br> |http://maps.google.com/?q=42.286858%2C%20-87.955073%20(%22MainStreet+Libertyville+Farmers+Market%22)|MainStreet Libertyville Farmers Market|Baked goods; Cheese and/or dairy products; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products|W Church Street, Libertyville, Illinois, 60048|1000030
 <br> <br> <br> |http://maps.google.com/?q=38.8977%2C%20-76.9695%20(%22Open+Air+Farmers+Market%22)|Open Air Farmers Market||Oklahoma Ave. and Benning Rd., NE, Washington, District of Columbia, 20020|1000031
 <br> <br> <br> |http://maps.google.com/?q=38.8507%2C%20-76.9752%20(%22Stanton+%26+Turner+Open+Air+Farmers+Market%22)|Stanton & Turner Open Air Farmers Market||Stanton and Alabama Avenue SE, Washington, District of Columbia, 20020|1000032
 <br> <br> <br> |http://maps.google.com/?q=35.1786%2C%20-83.3916%20(%22Franklin+Tailgate+Market%22)|Franklin Tailgate Market||West Palmer Street, Franklin, North Carolina, 28734|1000034
05/01/2012 to 10/31/2012 <br> <br> <br> |http://maps.google.com/?q=34.1774%2C%20-80.8965%20(%22Northeast+Farmers+Market%22)|Northeast Farmers Market||Lake Carolina Town Center, Columbia, South Carolina, 29229|1000036
04/26/2014 to 11/01/2014 Sat: 8:00 AM-12:00 PM;<br> <br> <br> |http://maps.google.com/?q=42.8344690%2C%20-88.7596860%20(%22Whitewater+Farmers+Market%22)|Whitewater Farmers Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Plants in containers; Soap and/or body care products; Trees, shrubs| 1415West Main St., Whitewater, Wisconsin, 53190|1000037
 <br> <br> <br> |http://maps.google.com/?q=32.9548%2C%20-117.264%20(%22Del+Mar+Farmers+Market%22)|Del Mar Farmers Market||1050 Camino Del Mar, Del Mar, California, 92014|1000038
 <br> <br> <br> |http://maps.google.com/?q=32.2235%2C%20-110.972%20(%22Downtown+Farmers+Market+Arts+%26+Crafts+Mercado%22)|Downtown Farmers Market Arts & Crafts Mercado||South Lawn of the Main Library, Tucson, Arizona, 85719|1000039
 <br> <br> <br> |http://maps.google.com/?q=32.2239%2C%20-110.973%20(%22El+Presidio+Mercado%22)|El Presidio Mercado||Corner of Church and Alameda, Tucson, Arizona|1000040
 <br> <br> <br> |http://maps.google.com/?q=35.0763%2C%20-81.648%20(%22Gaffney+Station+Farmers+Market+++Gaffney+Station+Farmers+Market%22)|Gaffney Station Farmers Market   Gaffney Station Farmers Market||Corner of Frederick St. and Granard St., Gaffney, South Carolina, 29342|1000041
 <br> <br> <br> |http://maps.google.com/?q=44.8322%2C%20-93.064%20(%22Inver+Grove+Heights+Farmers+Market%22)|Inver Grove Heights Farmers Market||Veterans Memorial Community Center parking lot, Inver Grove Heights, Minnesota, 55077|1000042
05/04/2013 to 11/02/2013 Sat: 9:00 AM-1:30 PM;<br> <br> <br> |http://maps.google.com/?q=42.8056144%2C%20-73.8771901%20(%22Schenectady+County+Farm+Bureau+Farmers+Market%22)|Schenectady County Farm Bureau Farmers Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Trees, shrubs|COLDWELL &BANKERS PARKING LOT , NISKAYUNA, New York, 12309|1000043
 <br> <br> <br> |http://maps.google.com/?q=40.4553%2C%20-82.2445%20(%22Danville+Auction%22)|Danville Auction||15684 Body Rd., Danville, Ohio, 43014|1000044
 <br> <br> <br> |http://maps.google.com/?q=37.7707%2C%20-111.61%20(%22Escalante+Farmer''s+Market%22)|Escalante Farmer''''s Market||Escalante, Utah, 84726|1000047
01/01/2012 to 12/31/2012 <br> <br> <br> |http://maps.google.com/?q=31.7136472%2C%20-83.2518458%20(%22Fitzgerald+Farmers+Market%22)|Fitzgerald Farmers Market||227 East Pine Street, Fitzgerald, Georgia, 31750|1000048
01/01/2012 to 12/31/2012 <br> <br> <br> |http://maps.google.com/?q=32.838311%2C%20-83.628616%20(%22Mulberry+Street+Market%22)|Mulberry Street Market||500 Mulberry St, Macon, Georgia, 31201|1000050
05/01/2012 to 07/31/2012 <br> <br> <br> |http://maps.google.com/?q=30.5244349%2C%20-87.9019749%20(%22Fairhope+Outdoor+Farm+Market%22)|Fairhope Outdoor Farm Market||Corner of Bancroft Street and Magnolia Avenue, Fairhope, Alabama, 36532|1000051
 Sun: 8:00 AM-1:00 PM;<br> <br> <br> |http://maps.google.com/?q=34.09986%2C%20-118.3283%20(%22Hollywood+Farmers''+Market%22)|Hollywood Farmers'''' Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Nuts; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Trees, shrubs|1500 Ivar Ave. & Selma Ave, Los Angeles, California, 90028|1000052
06/01/2012 to 10/31/2012 <br> <br> <br> |http://maps.google.com/?q=42.002398%2C%20-87.660985%20(%22Loyola+University+Chicago+Farmers''+Market%22)|Loyola University Chicago Farmers'''' Market||6590 North Sheridan Rd, Chicago, Illinois, 60626|1000053
01/01/2012 to 12/31/2012 <br> <br> <br> |http://maps.google.com/?q=29.9663070%2C%20-90.0395460%20(%22Sankofa+Farmers+Market%22)|Sankofa Farmers Market||3500 St. Claude Ave, New Orleans, Louisiana, 70117|1000054
05/17/2014 to 11/22/2014 Sun: 10:00 AM-2:00 PM;<br> <br> <br> |http://maps.google.com/?q=41.144455%2C%20-73.492033%20(%22New+Canaan+Farmers+Market%22)|New Canaan Farmers Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Trees, shrubs|Old Center School parking lot, Maple Street, New Canaan, Connecticut, 06840|1000055
06/01/2011 to 09/31/2011 <br> <br> <br> |http://maps.google.com/?q=42.0156%2C%20-94.3737%20(%22Greene+County+Farmers+Market%22)|Greene County Farmers Market||101 N Chestnut Stree, Jefferson, Iowa, 50129|1000056
06/01/2013 to 11/23/2013 Sat: 8:00 AM-3:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.616950%2C%20-74.032102%20(%22Bay+Ridge+Greenmarket%22)|Bay Ridge Greenmarket|Baked goods; Cheese and/or dairy products; Fish and/or seafood; Fresh fruit and vegetables; Honey; Meat|3rd Ave & 95 St., New York, New York, 11209|1000057
01/01/2013 to 12/31/2013 Sat: 8:00 AM-4:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.6921%2C%20-73.9746%20(%22Fort+Green+Park+Greenmarket%22)|Fort Green Park Greenmarket|Baked goods; Cheese and/or dairy products; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Poultry; Wine, beer, hard cider|Washington Pk & Dekalb, New York, New York, 11205|1000058
06/27/2013 to 11/21/2013 Thu: 8:00 AM-5:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.8462226%2C%20-73.9384685%20(%22175th+Street+Greenmarket%22)|175th Street Greenmarket|Baked goods; Fish and/or seafood; Fresh fruit and vegetables; Honey|W 175 St. & Broadway, New York, New York, 10033|1000059
04/20/2013 to 12/21/2013 Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.768159%2C%20-73.985839%20(%2257th+Street+Greenmarket%22)|57th Street Greenmarket|Baked goods; Cheese and/or dairy products; Eggs; Fresh fruit and vegetables; Meat; Poultry|W 57 St. & 9 Ave, New York, New York, 10019|1000060
01/01/2013 to 12/31/2013 Sun: 8:00 AM-5:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.7818%2C%20-73.9757%20(%2279th+Street+Greenmarket%22)|79th Street Greenmarket|Baked goods; Cheese and/or dairy products; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption)|Columbus - W 78 & 81 Sts., New York, New York, 10024|1000061
01/01/2013 to 12/31/2013 Sat: 9:00 AM-2:30 PM;<br> <br> <br> |http://maps.google.com/?q=40.773749%2C%20-73.950090%20(%2282nd+Street+Greenmarket%22)|82nd Street Greenmarket|Baked goods; Cheese and/or dairy products; Fish and/or seafood; Fresh fruit and vegetables; Honey; Meat; Poultry|E 82nd St. - 1st & York Ave, New York, New York, 10028|1000062
06/23/2013 to 11/24/2013 Sun: 9:00 AM-4:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.780931%2C%20-73.946421%20(%2292nd+Street+Greenmarket%22)|92nd Street Greenmarket|Baked goods; Fish and/or seafood; Fresh fruit and vegetables; Meat|1st Ave - E 92nd & 93 Sts., New York, New York, 10128|1000063
01/01/2013 to 12/31/2013 Fri: 8:00 AM-2:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.7935600%2C%20-73.9670120%20(%2297th+Street+Greenmarket%22)|97th Street Greenmarket|Baked goods; Cheese and/or dairy products; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Meat; Poultry|W 97 St. & Columbus, New York, New York, 10025|1000064
01/01/2013 to 12/31/2013 Sat: 8:00 AM-2:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.737177%2C%20-74.005280%20(%22Abingdon+Square+Greenmarket%22)|Abingdon Square Greenmarket|Baked goods; Cheese and/or dairy products; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Poultry|W12 St. & 8th Ave, New York, New York, 10014|1000065
01/01/2013 to 12/31/2013 Tue: 8:00 AM-5:00 PM;Thu: 8:00 AM-5:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.704587%2C%20-74.014313%20(%22Bowling+Green+Greenmarket%22)|Bowling Green Greenmarket|Baked goods; Fresh fruit and vegetables; Fresh and/or dried herbs; Prepared foods (for immediate consumption)|Broadway & Battery Place, New York, New York, 10004|1000066
03/12/2013 to 12/24/2013 Tue: 8:00 AM-4:00 PM;Fri: 8:00 AM-4:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.713858%2C%20-74.006310%20(%22City+Hall+Park+Greenmarket%22)|City Hall Park Greenmarket|Baked goods; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Plants in containers; Prepared foods (for immediate consumption)|Broadway & Chambers, New York, New York, 10007|1000067
 Thu: 8:00 AM-5:00 PM;Sun: 8:00 AM-5:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.807345%2C%20-73.964360%20(%22Columbia+University+Greenmarket%22)|Columbia University Greenmarket|Baked goods; Cheese and/or dairy products; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption)|Broadway - W114 & 115 Sts., New York, New York, 10027|1000068
01/01/2013 to 12/31/2013 Wed: 8:00 AM-4:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.7529921%2C%20-73.9698797%20(%22Dag+Hammarskjold+Plaza+Greenmarket%22)|Dag Hammarskjold Plaza Greenmarket|Baked goods; Cheese and/or dairy products; Eggs; Fresh fruit and vegetables; Meat; Poultry|E 47 St & 2 Ave, New York, New York, 10017|1000069
01/01/2013 to 12/31/2013 Tue: 8:00 AM-6:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.7119522%2C%20-74.0081736%20(%22Downtown+PATH+Greenmarket%22)|Downtown PATH Greenmarket|Baked goods; Fresh fruit and vegetables|W Broadway - Barclay St & Park Pl, New York, New York, 10271|1000070
06/04/2013 to 11/26/2013 Tue: 8:00 AM-4:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.8421727%2C%20-73.9422685%20(%22Ft.+Washington+Greenmarket%22)|Ft. Washington Greenmarket|Baked goods; Cheese and/or dairy products; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.|168th St. & Ft. Washington, New York, New York, 10032|1000071
01/01/2013 to 12/31/2013 Sat: 8:00 AM-3:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.868272%2C%20-73.919942%20(%22Inwood+Greenmarket%22)|Inwood Greenmarket|Baked goods; Cheese and/or dairy products; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Poultry|Isham St - Seaman & Cooper, New York, New York, 10034|1000072
06/26/2013 to 11/27/2013 Wed: 8:00 AM-5:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.788941%2C%20-73.952043%20(%22Mount+Sinai+Hospital+Greenmarket%22)|Mount Sinai Hospital Greenmarket|Baked goods; Eggs; Fresh fruit and vegetables; Poultry|E99 St. - Madison & Park Aves, New York, New York, 10029|1000073
01/01/2013 to 12/31/2013 Thu: 8:00 AM-5:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.757205%2C%20-73.989873%20(%22NY%2fNJ+Port+Authority+Greenmarket%22)|NY/NJ Port Authority Greenmarket|Baked goods; Cut flowers; Fresh fruit and vegetables; Fresh and/or dried herbs|8th & 42nd Street (inside bus terminal), New York, New York, 10036|1000074
07/24/2013 to 08/30/2013 Wed: 8:00 AM-5:00 PM;Thu: 8:00 AM-5:00 PM;Fri: 8:00 AM-5:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.759513%2C%20-73.980560%20(%22Rockefeller+Center+Greenmarket%22)|Rockefeller Center Greenmarket|Baked goods; Cheese and/or dairy products; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Poultry; Prepared foods (for immediate consumption); Wine, beer, hard cider|Rockefeller Plaza - 50 St., New York, New York, 10185|1000075
06/04/2013 to 11/26/2013 Tue: 8:00 AM-7:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.7297528%2C%20-73.9868166%20(%22St.+Mark''s+Church+Greenmarket%22)|St. Mark''''s Church Greenmarket|Baked goods; Fresh fruit and vegetables|E 10 St. & 2 Av, New York, New York, 10003|1000076
04/21/2013 to 12/22/2013 Sun: 9:30 AM-4:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.731763%2C%20-73.977814%20(%22Stuyvesant+Town+Greenmarket%22)|Stuyvesant Town Greenmarket|Baked goods; Cheese and/or dairy products; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Poultry; Wine, beer, hard cider|14th St loop & Ave A (in the Oval), New York, New York, 10009|1000077
01/01/2013 to 12/31/2013 Sun: 9:00 AM-6:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.7260560%2C%20-73.9835350%20(%22Tompinks+Square+Greenmarket%22)|Tompinks Square Greenmarket|Baked goods; Cheese and/or dairy products; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Poultry|E 7 St. & Ave A, New York, New York, 10009|1000078
01/01/2013 to 12/31/2013 Wed: 8:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.7163009%2C%20-74.0109940%20(%22Tribeca+Greenmarket%22)|Tribeca Greenmarket|Baked goods; Cheese and/or dairy products; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Meat; Poultry|Greenwich & Chambers, New York, New York, 10007|1000079
01/01/2013 to 12/31/2013 Thu: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.7736020%2C%20-73.9815730%20(%22Tucker+Square+Greenmarket%22)|Tucker Square Greenmarket|Baked goods; Cheese and/or dairy products; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Maple syrup and/or maple products; Meat; Plants in containers; Poultry|W 66 St. & Columbus, New York, New York, 10023|1000080
01/01/2013 to 12/31/2013 Mon: 8:00 AM-6:00 PM;Wed: 8:00 AM-6:00 PM;Fri: 8:00 AM-6:00 PM;Sat: 8:00 AM-6:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.737096%2C%20-73.990409%20(%22Union+Square+Greenmarket%22)|Union Square Greenmarket|Baked goods; Cheese and/or dairy products; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Trees, shrubs; Wine, beer, hard cider|E 17 St. & Broadway, New York, New York, 10003|1000081
01/01/2013 to 12/31/2013 Tue: 8:00 AM-7:00 PM;Fri: 8:00 AM-7:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.701952%2C%20-74.013648%20(%22Staten+Island+Ferry%2fWhitehall+Greenmarket%22)|Staten Island Ferry/Whitehall Greenmarket|Baked goods; Fresh fruit and vegetables; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat|4 South Street (inside terminal), New York, New York, 10004|1000082
06/19/2013 to 11/27/2013 Wed: 9:00 AM-3:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.866860%2C%20-73.880696%20(%22New+York+Botanical+Garden+Greenmarket%22)|New York Botanical Garden Greenmarket|Baked goods; Fresh fruit and vegetables|Kazimiroff Blvd-Bedford Pk & Mosholu Blvd inside NYBG Mosholu Gate, Bronx, New York, 10458|1000083
07/11/2013 to 11/21/2013 Thu: 8:00 AM-4:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.708670%2C%20-73.959382%20(%22Williamsburg+Greenmarket%22)|Williamsburg Greenmarket|Baked goods; Fresh fruit and vegetables; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.|Havemeyer & Broadway, Brooklyn, New York, 11211|1000084
01/01/2013 to 12/31/2013 Sun: 8:00 AM-3:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.753353%2C%20-73.889215%20(%22Jackson+Heights+Greenmarket%22)|Jackson Heights Greenmarket|Baked goods; Cheese and/or dairy products; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Honey; Maple syrup and/or maple products; Meat; Poultry; Wine, beer, hard cider|34 Ave - 77 & 78 Sts, Queens, New York, 11372|1000085
07/10/2013 to 11/20/2013 Wed: 8:00 AM-3:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.767672%2C%20-73.932452%20(%22Astoria+Greenmarket%22)|Astoria Greenmarket|Fresh fruit and vegetables|14 St - 31 Ave & 31 Rd, Queens, New York, 11106|1000086
06/01/2013 to 12/21/2013 Sat: 8:00 AM-3:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.746899%2C%20-73.921230%20(%22Sunnyside+Greenmarket%22)|Sunnyside Greenmarket|Baked goods; Cheese and/or dairy products; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Poultry; Wine, beer, hard cider|Skillman - 42 & 43 Sts, Queens, New York, 11104|1000087
